RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000203,綜合高中,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000203,綜合高中,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000203,綜合高中,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000203,綜合高中,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000204,實用技能學程,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000204,實用技能學程,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000204,實用技能學程,9900100002,女,0,,0,,0,,3,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000204,實用技能學程,9900100002,女,0,,0,,0,,3,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000703,高級中等進修學校,9900100001,男,0,,0,,0,,16,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000703,高級中等進修學校,9900100001,男,0,,0,,0,,16,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000703,高級中等進修學校,9900100002,女,0,,0,,0,,13,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000305,未升學未就業_其他,230310000703,高級中等進修學校,9900100002,女,0,,0,,0,,13,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000201,普通科,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000201,普通科,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000201,普通科,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000201,普通科,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000202,專業群科(職業科),9900100001,男,0,,0,,0,,1,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000202,專業群科(職業科),9900100001,男,0,,0,,0,,1,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000202,專業群科(職業科),9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000202,專業群科(職業科),9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000203,綜合高中,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000203,綜合高中,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000203,綜合高中,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000203,綜合高中,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000204,實用技能學程,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000204,實用技能學程,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000204,實用技能學程,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000204,實用技能學程,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000703,高級中等進修學校,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000703,高級中等進修學校,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000703,高級中等進修學校,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000401,遷居國外,230310000703,高級中等進修學校,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000201,普通科,9900100001,男,0,,0,,0,,2,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000201,普通科,9900100001,男,0,,0,,0,,2,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:34
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000201,普通科,9900100002,女,0,,0,,0,,1,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000201,普通科,9900100002,女,0,,0,,0,,1,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000202,專業群科(職業科),9900100001,男,0,,0,,0,,1,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000202,專業群科(職業科),9900100001,男,0,,0,,0,,1,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000202,專業群科(職業科),9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000202,專業群科(職業科),9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000203,綜合高中,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000203,綜合高中,9900100001,男,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000203,綜合高中,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
10414-00-01-2,臺中市高級中等學校應屆畢業生升學就業概況,1041400a003,高級中等學校應屆畢業生升學就業概況-畢業生(單位:人),2014/8/1 上午 12:00:00,010000066000,臺中市,S,學年,230220000402,死亡,230310000203,綜合高中,9900100002,女,0,,0,,0,,0,,387040000E,教育局,2016/12/15 下午 06:27:39,2017/3/9 下午 01:20:35
